ID,Year_Birth,ages,Education,PhD,Graduation,2n Cycle,Basic,Master,Marital_Status,single,married,Income,Kidhome,Teenhome,Dt_Customer,months,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spent,Total_Spent_Per_Month,Childbin,Kidbin,Teenbin,NwpPerVM,NwpPerV,NumPurchases,WebRatio
5524,1957,59,Graduation,0,1,0,0,0,Single,1,0,58138.0,0,0,04-09-2012,51,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1617,3436.125,0,0,0,0.022408963585434174,1.1428571428571428,21,0.3333333333333333
2174,1954,62,Graduation,0,1,0,0,0,Single,1,0,46344.0,1,1,08-03-2014,33,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,27,37.125,1,1,1,0.006060606060606061,0.2,8,0.625
4141,1965,51,Graduation,0,1,0,0,0,Together,0,1,71613.0,0,0,21-08-2013,40,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,776,1293.3333333333333,0,0,0,0.05,2.0,16,0.25
6182,1984,32,Graduation,0,1,0,0,0,Together,0,1,26646.0,1,0,10-02-2014,34,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,53,75.08333333333333,0,1,0,0.00980392156862745,0.3333333333333333,10,0.6
5324,1981,35,PhD,1,0,0,0,0,Married,0,1,58293.0,1,0,19-01-2014,35,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,422,615.4166666666666,0,1,0,0.02857142857142857,1.0,14,0.35714285714285715
7446,1967,49,Master,0,0,0,0,1,Together,0,1,62513.0,0,1,09-09-2013,39,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,716,1163.5,0,0,1,0.02564102564102564,1.0,20,0.3
965,1971,45,Graduation,0,1,0,0,0,Divorced,1,0,55635.0,0,1,13-11-2012,49,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,590,1204.5833333333333,0,0,1,0.023809523809523808,1.1666666666666667,16,0.375
6177,1985,31,PhD,1,0,0,0,0,Married,0,1,33454.0,1,0,08-05-2013,43,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,169,302.7916666666667,0,1,0,0.011627906976744186,0.5,12,0.6666666666666666
4855,1974,42,PhD,1,0,0,0,0,Together,0,1,30351.0,1,0,06-06-2013,42,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,80.5,0,1,0,0.007936507936507936,0.3333333333333333,11,0.8181818181818182
5899,1950,66,PhD,1,0,0,0,0,Together,0,1,5648.0,1,1,13-03-2014,33,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,67.375,1,1,1,0.0015151515151515152,0.05,20,1.0
