,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumPurchases,WebRatio
0,3,8,10,4,22,0.3636363636363636
1,2,1,1,2,4,0.25
2,1,8,2,10,20,0.4
3,2,2,0,4,6,0.3333333333333333
4,5,5,3,6,14,0.3571428571428571
5,2,6,4,10,20,0.3
6,4,7,3,7,17,0.4117647058823529
7,2,4,0,4,8,0.5
8,1,3,0,2,5,0.6
9,1,1,0,0,1,1.0
10,1,2,0,3,5,0.4
11,1,3,4,8,15,0.2
12,3,6,1,5,12,0.5
13,1,1,0,3,4,0.25
14,1,7,6,12,25,0.28
15,3,3,0,3,6,0.5
16,2,4,1,6,11,0.3636363636363636
17,2,11,4,9,24,0.4583333333333333
18,2,2,1,3,6,0.3333333333333333
19,1,4,2,5,11,0.3636363636363636
20,15,0,28,0,28,0.0
21,3,2,3,9,14,0.1428571428571428
22,3,6,2,9,17,0.3529411764705882
23,7,7,1,5,13,0.5384615384615384
24,2,2,1,3,6,0.3333333333333333
25,4,5,1,4,10,0.5
26,2,2,1,4,7,0.2857142857142857
27,1,6,9,10,25,0.24
28,2,3,0,3,6,0.5
29,1,2,5,3,10,0.2
30,2,2,1,4,7,0.2857142857142857
31,6,4,1,6,11,0.3636363636363636
32,1,3,5,9,17,0.1764705882352941
33,1,2,0,3,5,0.4
34,5,5,6,12,23,0.217391304347826
35,3,3,1,2,6,0.5
36,2,1,1,3,5,0.2
37,2,7,10,5,22,0.3181818181818182
38,2,8,6,5,19,0.4210526315789473
39,2,2,0,3,5,0.4
40,1,0,0,3,3,0.0
41,3,2,0,3,5,0.4
42,1,2,4,9,15,0.1333333333333333
43,3,3,1,3,7,0.4285714285714285
44,1,2,0,2,4,0.5
45,9,5,2,12,19,0.2631578947368421
46,1,4,2,10,16,0.25
47,1,6,9,13,28,0.2142857142857142
48,2,2,0,3,5,0.4
49,1,4,9,7,20,0.2
50,7,4,2,10,16,0.25
51,1,3,10,13,26,0.1153846153846153
52,1,5,5,10,20,0.25
53,1,1,0,4,5,0.2
54,3,8,2,6,16,0.5
55,1,3,6,11,20,0.15
56,4,4,2,12,18,0.2222222222222222
57,4,8,2,10,20,0.4
58,1,7,3,8,18,0.3888888888888889
59,1,7,4,4,15,0.4666666666666667
60,1,1,1,2,4,0.25
61,1,1,0,2,3,0.3333333333333333
62,1,11,10,10,31,0.3548387096774194
63,1,5,2,10,17,0.2941176470588235
64,7,2,5,5,12,0.1666666666666666
65,3,4,8,6,18,0.2222222222222222
66,4,10,3,13,26,0.3846153846153846
67,5,9,2,8,19,0.4736842105263157
68,1,2,1,4,7,0.2857142857142857
69,1,1,0,2,3,0.3333333333333333
70,1,7,6,5,18,0.3888888888888889
71,0,5,8,9,22,0.2272727272727272
72,1,0,0,3,3,0.0
73,2,10,1,8,19,0.5263157894736842
74,4,3,1,4,8,0.375
75,1,1,0,2,3,0.3333333333333333
76,3,3,0,3,6,0.5
77,1,2,5,3,10,0.2
78,1,3,10,13,26,0.1153846153846153
79,2,1,0,4,5,0.2
80,5,3,1,4,8,0.375
81,4,6,1,6,13,0.4615384615384615
82,1,5,6,7,18,0.2777777777777778
83,1,2,2,5,9,0.2222222222222222
84,1,1,0,3,4,0.25
85,3,3,1,3,7,0.4285714285714285
86,1,2,0,3,5,0.4
87,5,7,4,6,17,0.4117647058823529
88,2,2,0,3,5,0.4
89,1,5,7,12,24,0.2083333333333333
90,2,5,2,7,14,0.3571428571428571
91,2,2,0,3,5,0.4
92,2,2,0,3,5,0.4
93,2,9,5,11,25,0.36
94,1,6,3,6,15,0.4
95,1,3,11,5,19,0.1578947368421052
96,1,1,0,3,4,0.25
97,4,4,1,4,9,0.4444444444444444
98,4,6,4,12,22,0.2727272727272727
99,2,3,1,3,7,0.4285714285714285
100,1,5,4,4,13,0.3846153846153846
101,1,6,6,11,23,0.2608695652173913
102,1,7,4,5,16,0.4375
103,3,8,1,8,17,0.4705882352941176
104,1,6,7,11,24,0.25
105,5,6,4,6,16,0.375
106,2,2,1,3,6,0.3333333333333333
107,0,4,6,5,15,0.2666666666666666
108,5,9,1,5,15,0.6
109,2,1,1,3,5,0.2
110,2,2,0,3,5,0.4
111,4,6,2,10,18,0.3333333333333333
112,3,2,1,3,6,0.3333333333333333
113,2,1,0,3,4,0.25
114,1,1,0,3,4,0.25
115,0,6,8,13,27,0.2222222222222222
116,2,3,4,7,14,0.2142857142857142
117,1,3,6,6,15,0.2
118,2,2,0,4,6,0.3333333333333333
119,4,6,3,10,19,0.3157894736842105
120,5,5,4,5,14,0.3571428571428571
121,5,11,1,6,18,0.6111111111111112
122,1,7,2,9,18,0.3888888888888889
123,5,5,1,5,11,0.4545454545454545
124,1,4,5,13,22,0.1818181818181818
125,2,1,0,3,4,0.25
126,3,2,2,2,6,0.3333333333333333
127,2,1,1,2,4,0.25
128,2,2,0,3,5,0.4
129,1,5,4,12,21,0.238095238095238
130,2,3,5,7,15,0.2
131,1,5,7,10,22,0.2272727272727272
132,3,8,5,9,22,0.3636363636363636
133,3,4,2,3,9,0.4444444444444444
134,3,3,3,6,12,0.25
135,1,2,0,3,5,0.4
136,1,1,0,2,3,0.3333333333333333
137,7,4,1,4,9,0.4444444444444444
138,1,2,1,4,7,0.2857142857142857
139,1,4,4,7,15,0.2666666666666666
140,4,8,1,6,15,0.5333333333333333
141,4,7,1,5,13,0.5384615384615384
142,4,3,0,4,7,0.4285714285714285
143,2,8,5,11,24,0.3333333333333333
144,1,10,4,6,20,0.5
