,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumPurchases,WebRatio
0,3,8,10,4,21,0.3333333333333333
1,2,1,1,2,8,0.625
2,1,8,2,10,16,0.25
3,2,2,0,4,10,0.6
4,5,5,3,6,14,0.3571428571428571
5,2,6,4,10,20,0.3
6,4,7,3,7,16,0.375
7,2,4,0,4,12,0.6666666666666666
8,1,3,0,2,11,0.8181818181818182
9,1,1,0,0,20,1.0
10,1,2,0,3,11,0.7272727272727273
11,1,3,4,8,14,0.1428571428571428
12,3,6,1,5,12,0.5
13,1,1,0,3,11,0.7272727272727273
14,1,7,6,12,21,0.1428571428571428
15,3,3,0,3,11,0.7272727272727273
16,2,4,1,6,14,0.5
17,2,11,4,9,18,0.2777777777777778
18,2,2,1,3,10,0.6
19,1,4,2,5,15,0.5333333333333333
20,15,0,28,0,29,0.0344827586206896
21,3,2,3,9,20,0.4
22,3,6,2,9,15,0.2666666666666666
23,7,7,1,5,14,0.5714285714285714
24,2,2,1,3,11,0.6363636363636364
25,4,5,1,4,12,0.5833333333333334
26,2,2,1,4,8,0.375
27,1,6,9,10,21,0.0952380952380952
28,2,3,0,3,8,0.625
29,1,2,5,3,11,0.2727272727272727
30,2,2,1,4,10,0.5
31,6,4,1,6,13,0.4615384615384615
32,1,3,5,9,21,0.3333333333333333
33,1,2,0,3,10,0.7
34,5,5,6,12,20,0.1
35,3,3,1,2,10,0.7
36,2,1,1,3,9,0.5555555555555556
37,2,7,10,5,21,0.2857142857142857
38,2,8,6,5,15,0.2666666666666666
39,2,2,0,3,11,0.7272727272727273
40,1,0,0,3,8,0.625
41,3,2,0,3,8,0.625
42,1,2,4,9,14,0.0714285714285714
43,3,3,1,3,13,0.6923076923076923
44,1,2,0,2,12,0.8333333333333334
45,9,5,2,12,22,0.3636363636363636
46,1,4,2,10,14,0.1428571428571428
47,1,6,9,13,25,0.12
48,2,2,0,3,10,0.7
49,1,4,9,7,17,0.0588235294117647
50,7,4,2,10,15,0.2
51,1,3,10,13,24,0.0416666666666666
52,1,5,5,10,18,0.1666666666666666
53,1,1,0,4,7,0.4285714285714285
54,3,8,2,6,15,0.4666666666666667
55,1,3,6,11,18,0.0555555555555555
56,4,4,2,12,17,0.1764705882352941
57,4,8,2,10,19,0.3684210526315789
58,1,7,3,8,16,0.3125
59,1,7,4,4,12,0.3333333333333333
60,1,1,1,2,10,0.7
61,1,1,0,2,9,0.7777777777777778
62,1,11,10,10,25,0.2
63,1,5,2,10,16,0.25
64,7,2,5,5,15,0.3333333333333333
65,3,4,8,6,17,0.1764705882352941
66,4,10,3,13,23,0.3043478260869565
67,5,9,2,8,17,0.4117647058823529
68,1,2,1,4,7,0.2857142857142857
69,1,1,0,2,8,0.75
70,1,7,6,5,16,0.3125
71,0,5,8,9,21,0.1904761904761904
72,1,0,0,3,6,0.5
73,2,10,1,8,17,0.4705882352941176
74,4,3,1,4,13,0.6153846153846154
75,1,1,0,2,9,0.7777777777777778
76,3,3,0,3,10,0.7
77,1,2,5,3,11,0.2727272727272727
78,1,3,10,13,24,0.0416666666666666
79,2,1,0,4,11,0.6363636363636364
80,5,3,1,4,12,0.5833333333333334
81,4,6,1,6,14,0.5
82,1,5,6,7,15,0.1333333333333333
83,1,2,2,5,9,0.2222222222222222
84,1,1,0,3,10,0.7
85,3,3,1,3,9,0.5555555555555556
86,1,2,0,3,9,0.6666666666666666
87,5,7,4,6,16,0.375
88,2,2,0,3,10,0.7
89,1,5,7,12,21,0.0952380952380952
90,2,5,2,7,14,0.3571428571428571
91,2,2,0,3,11,0.7272727272727273
92,2,2,0,3,9,0.6666666666666666
93,2,9,5,11,21,0.238095238095238
94,1,6,3,6,13,0.3076923076923077
95,1,3,11,5,17,0.0588235294117647
96,1,1,0,3,8,0.625
97,4,4,1,4,12,0.5833333333333334
98,4,6,4,12,22,0.2727272727272727
99,2,3,1,3,11,0.6363636363636364
100,1,5,4,4,10,0.2
101,1,6,6,11,20,0.15
102,1,7,4,5,18,0.5
103,3,8,1,8,15,0.4
104,1,6,7,11,21,0.1428571428571428
105,5,6,4,6,17,0.4117647058823529
106,2,2,1,3,10,0.6
107,0,4,6,5,12,0.0833333333333333
108,5,9,1,5,15,0.6
109,2,1,1,3,9,0.5555555555555556
110,2,2,0,3,9,0.6666666666666666
111,4,6,2,10,16,0.25
112,3,2,1,3,9,0.5555555555555556
113,2,1,0,3,10,0.7
114,1,1,0,3,10,0.7
115,0,6,8,13,23,0.0869565217391304
116,2,3,4,7,12,0.0833333333333333
117,1,3,6,6,13,0.0769230769230769
118,2,2,0,4,10,0.6
119,4,6,3,10,17,0.2352941176470588
120,5,5,4,5,14,0.3571428571428571
121,5,11,1,6,15,0.5333333333333333
122,1,7,2,9,15,0.2666666666666666
123,5,5,1,5,14,0.5714285714285714
124,1,4,5,13,21,0.1428571428571428
125,2,1,0,3,11,0.7272727272727273
126,3,2,2,2,12,0.6666666666666666
127,2,1,1,2,8,0.625
128,2,2,0,3,10,0.7
129,1,5,4,12,18,0.1111111111111111
130,2,3,5,7,19,0.3684210526315789
131,1,5,7,10,19,0.1052631578947368
132,3,8,5,9,20,0.3
133,3,4,2,3,12,0.5833333333333334
134,3,3,3,6,17,0.4705882352941176
135,1,2,0,3,9,0.6666666666666666
136,1,1,0,2,10,0.8
137,7,4,1,4,13,0.6153846153846154
138,1,2,1,4,8,0.375
139,1,4,4,7,14,0.2142857142857142
140,4,8,1,6,13,0.4615384615384615
141,4,7,1,5,13,0.5384615384615384
142,4,3,0,4,10,0.6
143,2,8,5,11,21,0.238095238095238
144,1,10,4,6,14,0.2857142857142857
145,3,6,1,5,13,0.5384615384615384
146,1,0,0,3,7,0.5714285714285714
147,1,1,1,6,9,0.2222222222222222
148,1,3,4,10,15,0.0666666666666666
149,1,1,0,2,9,0.7777777777777778
150,2,10,6,9,21,0.2857142857142857
151,4,3,0,4,12,0.6666666666666666
152,1,5,4,10,16,0.125
153,15,0,22,0,22,0.0
154,3,2,0,4,10,0.6
155,1,6,7,4,14,0.2142857142857142
156,1,3,2,6,12,0.3333333333333333
157,1,3,4,7,12,0.0833333333333333
158,3,2,1,3,9,0.5555555555555556
159,2,1,0,3,10,0.7
160,2,2,0,3,11,0.7272727272727273
161,1,3,1,3,10,0.6
162,2,2,1,3,9,0.5555555555555556
163,1,2,2,2,8,0.5
164,1,11,8,8,21,0.238095238095238
165,1,9,10,5,19,0.2105263157894736
166,2,2,0,3,10,0.7
167,1,0,0,3,5,0.4
168,1,5,7,12,21,0.0952380952380952
169,1,4,1,4,10,0.5
170,3,2,1,3,10,0.6
171,1,6,4,13,19,0.1052631578947368
172,1,1,1,3,10,0.6
173,1,2,0,3,9,0.6666666666666666
174,1,1,1,2,12,0.75
175,2,1,0,4,9,0.5555555555555556
176,2,7,1,8,14,0.3571428571428571
177,1,4,10,9,21,0.0952380952380952
178,2,2,0,3,10,0.7
179,1,1,1,2,9,0.6666666666666666
180,1,8,7,12,22,0.1363636363636363
181,2,3,0,3,11,0.7272727272727273
182,4,5,1,6,13,0.4615384615384615
183,2,1,1,2,11,0.7272727272727273
184,1,7,3,12,18,0.1666666666666666
185,1,4,6,6,14,0.1428571428571428
186,1,5,6,5,13,0.1538461538461538
187,6,5,1,3,12,0.6666666666666666
188,3,8,1,7,13,0.3846153846153846
189,1,4,4,9,14,0.0714285714285714
190,3,11,6,9,21,0.2857142857142857
191,0,7,9,10,23,0.1739130434782608
192,2,1,0,3,10,0.7
193,1,0,1,2,9,0.6666666666666666
194,1,1,0,3,12,0.75
195,6,4,2,5,13,0.4615384615384615
196,1,2,0,3,9,0.6666666666666666
197,5,11,4,9,21,0.3809523809523809
198,5,3,1,6,11,0.3636363636363636
199,1,4,6,9,16,0.0625
200,8,5,1,5,14,0.5714285714285714
201,10,7,1,8,16,0.4375
202,1,3,4,9,14,0.0714285714285714
203,6,8,1,5,14,0.5714285714285714
204,1,1,0,2,10,0.8
205,1,8,10,6,19,0.1578947368421052
206,2,4,1,5,13,0.5384615384615384
207,2,11,4,11,21,0.2857142857142857
208,1,1,1,4,8,0.375
209,1,3,5,7,13,0.0769230769230769
210,2,6,3,11,17,0.1764705882352941
211,4,4,1,4,13,0.6153846153846154
212,5,9,6,12,24,0.25
213,4,3,1,4,13,0.6153846153846154
214,2,8,2,4,14,0.5714285714285714
215,3,2,2,11,21,0.3809523809523809
216,1,3,5,8,15,0.1333333333333333
217,1,1,0,2,10,0.8
218,9,5,1,8,16,0.4375
219,1,6,3,4,14,0.5
220,1,1,0,2,10,0.8
221,1,1,0,3,6,0.5
222,3,7,8,11,24,0.2083333333333333
223,2,2,0,4,10,0.6
224,1,1,0,3,10,0.7
225,1,5,2,11,16,0.1875
226,4,3,1,3,11,0.6363636363636364
227,1,6,5,10,18,0.1666666666666666
228,2,6,4,4,11,0.2727272727272727
229,1,2,0,2,11,0.8181818181818182
230,1,3,9,9,20,0.1
231,7,11,5,8,20,0.35
232,2,1,0,3,9,0.6666666666666666
233,2,5,3,6,15,0.4
234,2,9,4,6,15,0.3333333333333333
235,1,4,10,5,18,0.1666666666666666
236,4,9,6,6,18,0.3333333333333333
237,2,2,0,3,11,0.7272727272727273
238,2,1,0,3,9,0.6666666666666666
239,1,6,9,13,24,0.0833333333333333
240,2,3,1,5,12,0.5
241,5,4,6,11,25,0.32
242,2,1,0,3,9,0.6666666666666666
243,3,8,3,5,14,0.4285714285714285
244,4,3,2,7,12,0.25
245,4,2,0,4,9,0.5555555555555556
246,1,1,0,2,10,0.8
247,2,1,1,2,10,0.7
248,3,10,2,10,17,0.2941176470588235
249,4,4,1,6,12,0.4166666666666667
250,1,1,0,2,11,0.8181818181818182
251,6,5,2,4,14,0.5714285714285714
252,4,3,1,3,11,0.6363636363636364
253,1,3,7,8,16,0.0625
254,4,3,2,2,11,0.6363636363636364
255,1,3,3,6,10,0.1
256,2,2,2,2,10,0.6
257,2,3,4,5,16,0.4375
258,3,3,0,4,9,0.5555555555555556
259,2,4,2,4,11,0.4545454545454545
260,4,2,0,4,10,0.6
261,3,2,0,4,11,0.6363636363636364
262,2,6,3,12,19,0.2105263157894736
263,2,7,4,10,19,0.2631578947368421
264,1,3,3,5,9,0.1111111111111111
265,1,3,5,8,14,0.0714285714285714
266,1,9,3,9,18,0.3333333333333333
267,3,3,0,4,11,0.6363636363636364
268,2,8,2,4,14,0.5714285714285714
269,2,4,1,6,14,0.5
270,1,5,1,8,11,0.1818181818181818
271,2,2,0,3,8,0.625
272,1,3,1,2,10,0.7
273,1,6,3,13,19,0.1578947368421052
274,13,6,2,12,19,0.2631578947368421
275,1,5,11,5,19,0.1578947368421052
276,3,7,1,5,14,0.5714285714285714
277,1,1,0,3,10,0.7
278,3,3,1,3,11,0.6363636363636364
279,1,2,7,9,20,0.2
280,3,3,0,3,12,0.75
281,1,0,0,3,9,0.6666666666666666
282,3,3,6,11,25,0.32
283,1,1,0,3,10,0.7
284,1,3,0,3,11,0.7272727272727273
285,1,2,3,6,10,0.1
286,5,8,3,12,20,0.25
287,4,3,1,3,9,0.5555555555555556
288,1,9,2,9,17,0.3529411764705882
289,1,2,1,3,8,0.5
290,3,5,1,4,13,0.6153846153846154
291,3,3,1,3,11,0.6363636363636364
292,1,6,7,9,18,0.1111111111111111
293,1,3,0,3,12,0.75
294,1,2,5,10,16,0.0625
295,1,8,3,6,16,0.4375
296,1,4,2,4,10,0.4
297,4,3,1,3,10,0.6
298,2,2,0,3,10,0.7
299,1,6,6,10,19,0.1578947368421052
300,6,3,1,6,11,0.3636363636363636
301,2,2,0,3,8,0.625
302,2,3,0,3,10,0.7
303,2,4,3,6,12,0.25
304,2,1,0,3,8,0.625
305,3,3,3,12,17,0.1176470588235294
306,1,1,0,2,9,0.7777777777777778
307,1,1,0,2,9,0.7777777777777778
308,5,10,3,5,15,0.4666666666666667
309,6,8,2,8,18,0.4444444444444444
310,1,4,8,5,16,0.1875
311,3,2,0,4,12,0.6666666666666666
312,1,1,0,3,10,0.7
313,1,1,0,3,7,0.5714285714285714
314,4,3,1,4,13,0.6153846153846154
315,1,1,0,2,10,0.8
316,1,1,1,3,8,0.5
317,2,9,3,5,13,0.3846153846153846
318,1,1,1,2,10,0.7
319,2,2,0,3,11,0.7272727272727273
320,1,4,5,12,20,0.15
321,1,11,4,6,14,0.2857142857142857
322,1,1,0,3,11,0.7272727272727273
323,1,7,6,8,17,0.1764705882352941
324,1,4,5,11,19,0.1578947368421052
325,1,2,1,4,11,0.5454545454545454
326,3,4,2,11,21,0.3809523809523809
327,2,3,5,8,16,0.1875
328,1,1,0,2,10,0.8
329,1,2,9,4,14,0.0714285714285714
330,2,1,0,3,9,0.6666666666666666
331,1,4,4,6,11,0.0909090909090909
332,3,2,0,3,10,0.7
333,1,1,0,2,8,0.75
334,4,6,7,9,20,0.2
335,2,8,4,8,16,0.25
336,3,4,6,5,14,0.2142857142857142
337,1,3,4,10,15,0.0666666666666666
338,5,11,3,5,14,0.4285714285714285
339,2,2,0,3,10,0.7
340,1,2,0,4,10,0.6
341,1,3,3,8,12,0.0833333333333333
342,1,5,3,5,10,0.2
343,2,4,6,4,15,0.3333333333333333
344,1,4,7,10,19,0.1052631578947368
345,3,6,2,10,16,0.25
346,3,2,1,4,9,0.4444444444444444
347,1,1,0,2,11,0.8181818181818182
348,7,6,3,6,16,0.4375
349,2,6,2,9,15,0.2666666666666666
350,1,4,10,11,23,0.0869565217391304
351,2,2,0,3,10,0.7
352,1,4,3,8,14,0.2142857142857142
353,2,2,4,8,20,0.4
354,1,1,0,3,9,0.6666666666666666
355,6,5,1,4,13,0.6153846153846154
356,1,1,1,2,7,0.5714285714285714
357,4,4,3,12,23,0.3478260869565217
358,3,3,0,3,11,0.7272727272727273
359,4,3,2,2,12,0.6666666666666666
360,1,1,1,2,12,0.75
361,1,1,0,3,11,0.7272727272727273
362,2,3,5,10,21,0.2857142857142857
363,1,1,0,3,10,0.7
364,1,1,0,2,10,0.8
365,1,0,0,3,10,0.7
366,3,4,1,6,14,0.5
367,7,4,1,4,13,0.6153846153846154
368,1,0,1,2,6,0.5
369,3,1,2,2,9,0.5555555555555556
370,3,7,3,4,14,0.5
371,4,4,5,13,20,0.1
372,1,2,1,3,10,0.6
373,3,2,2,12,19,0.2631578947368421
374,0,5,6,8,15,0.0666666666666666
375,2,3,1,6,11,0.3636363636363636
376,1,5,4,6,12,0.1666666666666666
377,1,4,1,4,11,0.5454545454545454
378,3,5,3,12,18,0.1666666666666666
379,1,4,9,10,21,0.0952380952380952
380,4,3,1,4,13,0.6153846153846154
381,2,1,1,2,11,0.7272727272727273
382,1,1,0,3,10,0.7
383,4,2,2,3,12,0.5833333333333334
384,4,2,1,3,10,0.6
385,1,9,4,9,18,0.2777777777777778
386,5,2,1,5,11,0.4545454545454545
387,1,5,1,4,12,0.5833333333333334
388,9,6,3,6,16,0.4375
389,1,1,0,3,9,0.6666666666666666
390,3,2,0,4,12,0.6666666666666666
391,3,5,1,5,12,0.5
392,1,3,0,2,11,0.8181818181818182
393,3,7,1,8,16,0.4375
394,2,3,0,3,11,0.7272727272727273
395,4,4,3,6,13,0.3076923076923077
396,3,11,9,12,27,0.2222222222222222
397,3,5,1,7,15,0.4666666666666667
398,2,5,4,8,15,0.2
399,1,3,5,10,16,0.0625
400,3,2,1,3,9,0.5555555555555556
401,1,2,7,11,23,0.217391304347826
402,1,7,9,9,21,0.1428571428571428
403,9,10,2,8,18,0.4444444444444444
404,2,2,0,3,10,0.7
405,1,2,0,3,9,0.6666666666666666
406,1,1,0,2,10,0.8
407,1,3,4,8,13,0.0769230769230769
408,0,7,10,5,17,0.1176470588235294
409,1,1,0,2,10,0.8
410,1,6,7,13,21,0.0476190476190476
411,2,2,5,10,21,0.2857142857142857
412,2,1,0,4,9,0.5555555555555556
413,2,5,5,12,20,0.15
414,1,2,4,9,17,0.2352941176470588
415,5,8,1,7,16,0.5
416,15,9,6,9,22,0.3181818181818182
417,1,8,3,13,20,0.2
418,2,1,0,4,9,0.5555555555555556
419,1,1,0,3,8,0.625
420,3,6,2,12,19,0.2631578947368421
421,2,9,1,5,14,0.5714285714285714
422,3,2,1,4,12,0.5833333333333334
423,2,2,0,3,11,0.7272727272727273
424,1,1,0,3,11,0.7272727272727273
425,2,2,1,5,10,0.4
426,1,0,0,3,8,0.625
427,1,1,0,3,11,0.7272727272727273
428,1,1,0,3,11,0.7272727272727273
429,1,1,0,2,10,0.8
430,2,5,0,4,12,0.6666666666666666
431,1,4,5,7,13,0.0769230769230769
432,2,2,0,3,11,0.7272727272727273
433,2,3,2,9,14,0.2142857142857142
434,5,4,7,11,21,0.1428571428571428
435,3,8,9,7,23,0.3043478260869565
436,1,2,0,4,9,0.5555555555555556
437,2,4,2,8,13,0.2307692307692307
438,3,9,5,10,22,0.3181818181818182
439,7,5,1,6,15,0.5333333333333333
440,1,7,7,9,20,0.2
441,4,4,1,5,12,0.5
442,2,2,1,8,11,0.1818181818181818
443,1,5,7,6,16,0.1875
444,4,2,2,8,17,0.4117647058823529
445,1,3,7,11,19,0.0526315789473684
446,2,3,1,3,10,0.6
447,1,3,7,8,16,0.0625
448,2,4,0,3,10,0.7
449,1,2,8,9,18,0.0555555555555555
450,1,5,6,5,13,0.1538461538461538
451,1,1,0,2,10,0.8
452,3,7,2,8,16,0.375
453,3,7,3,12,22,0.3181818181818182
454,4,6,10,13,27,0.1481481481481481
