,Year_Birth,Education,ages,Marital_Status,PhD,Basic,2n Cycle,Master,Graduation,Income,single,married,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,months,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spent,Total_Spent_Per_Month,TotalChildren,HasChildren
0,1957,Graduation,59,Single,0,0,0,0,1,58138.0,1,0,0,0,04-09-2012,58,635,51,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1617,3436.125,0,0
1,1954,Graduation,62,Single,0,0,0,0,1,46344.0,1,0,1,1,08-03-2014,38,11,33,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,27,37.125,2,1
2,1965,Graduation,51,Together,0,0,0,0,1,71613.0,0,1,0,0,21-08-2013,26,426,40,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,776,1293.3333333333333,0,0
3,1984,Graduation,32,Together,0,0,0,0,1,26646.0,0,1,1,0,10-02-2014,26,11,34,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,53,75.08333333333333,1,1
4,1981,PhD,35,Married,1,0,0,0,0,58293.0,0,1,1,0,19-01-2014,94,173,35,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,422,615.4166666666666,1,1
5,1967,Master,49,Together,0,0,0,1,0,62513.0,0,1,0,1,09-09-2013,16,520,39,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,716,1163.5,1,1
6,1971,Graduation,45,Divorced,0,0,0,0,1,55635.0,1,0,0,1,13-11-2012,34,235,49,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,590,1204.5833333333333,1,1
7,1985,PhD,31,Married,1,0,0,0,0,33454.0,0,1,1,0,08-05-2013,32,76,43,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,169,302.7916666666667,1,1
8,1974,PhD,42,Together,1,0,0,0,0,30351.0,0,1,1,0,06-06-2013,19,14,42,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,80.5,1,1
9,1950,PhD,66,Together,1,0,0,0,0,5648.0,0,1,1,1,13-03-2014,68,28,33,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,67.375,2,1
11,1976,Basic,40,Married,0,1,0,0,0,7500.0,0,1,0,0,13-11-2012,59,6,49,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,124.54166666666667,0,0
12,1959,Graduation,57,Divorced,0,0,0,0,1,63033.0,1,0,0,0,15-11-2013,82,194,37,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,1698.9166666666667,0,0
13,1952,Master,64,Divorced,0,0,0,1,0,59354.0,1,0,1,1,15-11-2013,53,233,37,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,477.9166666666667,2,1
14,1987,Graduation,29,Married,0,0,0,0,1,17323.0,0,1,0,0,10-10-2012,38,3,50,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,95.83333333333333,0,0
15,1946,PhD,70,Single,1,0,0,0,0,82800.0,1,0,0,0,24-11-2012,23,1006,49,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,2684.7916666666665,0,0
16,1980,Graduation,36,Married,0,0,0,0,1,41850.0,0,1,1,1,24-12-2012,51,53,48,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,192.0,2,1
17,1946,Graduation,70,Together,0,0,0,0,1,37760.0,0,1,0,0,31-08-2012,20,84,52,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,686.8333333333334,0,0
18,1949,Master,67,Married,0,0,0,1,0,76995.0,0,1,0,1,28-03-2013,91,1012,45,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,3341.25,1,1
19,1985,2n Cycle,31,Single,0,0,1,0,0,33812.0,1,0,1,0,03-11-2012,86,4,49,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,271.5416666666667,1,1
20,1982,Graduation,34,Married,0,0,0,0,1,37040.0,0,1,0,0,08-08-2012,41,86,52,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,684.6666666666666,0,0
21,1979,Graduation,37,Married,0,0,0,0,1,2447.0,0,1,1,0,06-01-2013,42,1,47,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,3387.9166666666665,1,1
22,1949,PhD,67,Married,1,0,0,0,0,58607.0,0,1,0,1,23-12-2012,63,867,48,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,1944.0,1,1
23,1954,PhD,62,Married,1,0,0,0,0,65324.0,0,1,0,1,11-01-2014,0,384,35,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,793.3333333333334,1,1
24,1951,Graduation,65,Together,0,0,0,0,1,40689.0,0,1,0,1,18-03-2013,69,270,45,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,832.5,1,1
25,1969,Graduation,47,Single,0,0,0,0,1,18589.0,1,0,0,0,02-01-2013,89,6,47,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,75,146.875,0,0
26,1976,Graduation,40,Married,0,0,0,0,1,53359.0,0,1,1,1,27-05-2013,4,173,43,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,257,460.4583333333333,2,1
28,1989,Graduation,27,Married,0,0,0,0,1,38360.0,0,1,1,0,31-05-2013,26,36,43,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,131,234.70833333333334,1,1
29,1965,PhD,51,Married,1,0,0,0,0,84618.0,0,1,0,0,22-11-2013,96,684,37,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672,2577.6666666666665,0,0
30,1989,Master,27,Divorced,0,0,0,1,0,10979.0,1,0,0,0,22-05-2014,34,8,31,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,30,38.75,0,0
31,1963,Master,53,Together,0,0,0,1,0,38620.0,0,1,0,0,11-05-2013,56,112,43,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,569.75,0,0
32,1970,Graduation,46,Together,0,0,0,0,1,40548.0,0,1,0,1,10-10-2012,31,110,50,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,250.0,1,1
33,1952,PhD,64,Divorced,1,0,0,0,0,46610.0,1,0,0,2,29-10-2012,8,96,50,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,302,629.1666666666666,2,1
34,1946,Master,70,Married,0,0,0,1,0,68657.0,0,1,0,0,20-02-2013,4,482,46,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1196,2292.3333333333335,0,0
35,1951,Master,65,Single,0,0,0,1,0,49389.0,1,0,1,1,29-08-2013,55,40,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,108.33333333333333,2,1
36,1970,PhD,46,Married,1,0,0,0,0,67353.0,0,1,0,1,31-12-2013,37,702,36,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,913,1369.5,1,1
37,1976,2n Cycle,40,Married,0,0,1,0,0,23718.0,0,1,1,0,02-09-2013,76,6,39,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,81,131.625,1,1
38,1973,Graduation,43,Widow,0,0,0,0,1,42429.0,1,0,0,1,11-02-2014,99,55,34,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,94.91666666666667,1,1
39,1943,PhD,73,Divorced,1,0,0,0,0,48948.0,1,0,0,0,01-02-2013,53,437,46,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,902,1728.8333333333333,0,0
40,1980,Graduation,36,Married,0,0,0,0,1,80011.0,0,1,0,1,29-04-2013,3,421,44,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1395,2557.5,1,1
41,1985,Master,31,Married,0,0,0,1,0,20559.0,0,1,1,0,12-03-2013,88,13,45,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,53,99.375,1,1
42,1957,Graduation,59,Together,0,0,0,0,1,21994.0,0,1,0,1,24-12-2012,4,9,48,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,44.0,1,1
44,1975,Master,41,Married,0,0,0,1,0,7500.0,0,1,1,0,02-10-2013,19,3,38,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,31,49.083333333333336,1,1
45,1976,Graduation,40,Single,0,0,0,0,1,79941.0,1,0,0,0,28-06-2014,72,123,30,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,984,1230.0,0,0
46,1996,2n Cycle,20,Married,0,0,1,0,0,7500.0,0,1,0,0,09-11-2012,24,3,49,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,122,249.08333333333334,0,0
47,1968,Graduation,48,Together,0,0,0,0,1,41728.0,0,1,1,0,24-05-2013,92,13,43,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,98.54166666666667,1,1
49,1954,PhD,62,Married,1,0,0,0,0,72550.0,0,1,1,1,08-11-2012,39,826,49,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1319,2692.9583333333335,2,1
50,1957,Graduation,59,Widow,0,0,0,0,1,65486.0,1,0,0,1,12-05-2014,29,245,31,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,507,654.875,1,1
51,1964,Master,52,Married,0,0,0,1,0,79143.0,0,1,0,0,11-08-2012,2,650,52,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1693,3668.1666666666665,0,0
52,1977,Graduation,39,Single,0,0,0,0,1,35790.0,1,0,1,0,02-01-2013,54,12,47,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,72,141.0,1,1
53,1977,Graduation,39,Divorced,0,0,0,0,1,82582.0,1,0,0,0,07-06-2014,54,510,30,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1617,2021.25,0,0
